name,sales,zipcode,address,store,first_sale,last_sale
KIMMES ROCKWELL CITY COUNTRY STORE #,74,50579,"730, HIGH ST",5159,2021-10-11T00:00:00Z,2021-11-22T00:00:00Z
FREEMAN FOODS,73,NA,NA,4067,2019-07-05T00:00:00Z,2019-07-19T00:00:00Z
CASEY'S GENERAL STORE #2274 / SIOUX RAPIDS,72,50585,720 HWY 71,4532,2021-10-15T00:00:00Z,2021-11-19T00:00:00Z
FAS MART # 5150/ CEDAR RAPIDS,72,NA,NA,5305,2016-11-16T00:00:00Z,2017-03-01T00:00:00Z
CASEY'S GENERAL STORE #2552 / GOLDFIELD,71,50542,319 E HWY 3,4556,2021-10-06T00:00:00Z,2021-11-17T00:00:00Z
CASEY'S GENERAL STORE #2913 / COLO,71,50056,702 US HWY 65,4549,2021-10-04T00:00:00Z,2021-11-29T00:00:00Z
OTHO CONVENIENCE AND FOOD,70,50569,210 NORTH HWY,3845,2022-11-04T00:00:00Z,2023-03-16T00:00:00Z
CASEY'S GENERAL STORE #2684 - DURANT,69,52747,504 5TH STREET,5850,2021-10-04T00:00:00Z,2021-11-29T00:00:00Z
CASEY'S GENERAL STORE #2689 / ANKENY,69,NA,NA,5565,2019-07-03T00:00:00Z,2019-07-17T00:00:00Z
THRIFTWAY,69,NA,NA,3808,2020-03-03T00:00:00Z,2020-03-17T00:00:00Z
CASEY'S GENERAL STORE # 2417/ NEWTON,66,NA,NA,5275,2016-09-08T00:00:00Z,2016-12-08T00:00:00Z
CASEY'S GENERAL STORE # 3508/ MARSHA,66,NA,NA,5303,2016-09-22T00:00:00Z,2016-09-22T00:00:00Z
CASEY'S GENERAL STORE #2551 / WOODWARD,66,50276,"906, S MAIN ST",4577,2021-10-01T00:00:00Z,2021-11-19T00:00:00Z
CASEY'S GENERAL STORE #1020  / LE CL,64,52753,"210, JONES ST",5156,2021-10-04T00:00:00Z,2021-11-22T00:00:00Z
CASEY'S GENERAL STORE #1493 / VAN METER,64,NA,NA,4623,2016-09-14T00:00:00Z,2016-12-06T00:00:00Z
HARTIG DRUG #14 / INDEPENDENCE,64,NA,NA,3784,2023-10-03T00:00:00Z,2023-10-17T00:00:00Z
TROY MILLS / TROY MILLS,64,52344,5913 MAIN ST.,010129,2023-01-29T00:00:00Z,2023-03-24T00:00:00Z
CLEAR LAKE PAYLESS FOODS,63,NA,NA,4668,2019-07-05T00:00:00Z,2019-07-18T00:00:00Z
CASEY'S GENERAL STORE #1316 / MILFORD,62,51351,510 OKOBOJI AVE,4499,2021-10-13T00:00:00Z,2021-11-17T00:00:00Z
CASEY'S GENERAL STORE #1887 / CEDAR FALLS,62,50613,2425 CENTER ST,5748,2021-10-05T00:00:00Z,2021-11-11T00:00:00Z
CASEY'S GENERAL STORE #2512 / HILLS,62,52235,310 W MAIN ST,5789,2021-10-01T00:00:00Z,2021-11-26T00:00:00Z
CROSSROADS OF HUMBOLDT,59,NA,NA,5285,2016-09-14T00:00:00Z,2017-02-01T00:00:00Z
CASEY'S GENERAL STORE # 2783/ URBAND,58,NA,NA,5270,2016-09-14T00:00:00Z,2016-12-13T00:00:00Z
CASEY'S GENERAL STORE #3772,58,52544,105 SOUTH 18TH STREET,5724,2021-10-01T00:00:00Z,2021-11-19T00:00:00Z
WALGREENS #05885 / MUSCATINE,58,52761,1703 PARK AVE,4746,2021-10-12T00:00:00Z,2021-11-29T00:00:00Z
CASEY'S GENERAL STORE #1327 / LOVILIA,55,NA,NA,4811,2016-09-28T00:00:00Z,2016-11-30T00:00:00Z
NEW STAR / FORT DODGE,55,NA,NA,5665,2020-06-01T00:00:00Z,2020-06-08T00:00:00Z
WAL-MART 1625 / LEMARS,54,NA,NA,3742,2019-07-02T00:00:00Z,2019-07-16T00:00:00Z
BREW OIL #32 / SPENCER,53,51301,15 GRAND AVE,6168,2021-10-06T00:00:00Z,2021-11-24T00:00:00Z
USA FOOD AND GAS / GRAND MOUND,52,NA,NA,4813,2016-09-14T00:00:00Z,2016-10-05T00:00:00Z
CASEY'S GENERAL STORE # 2212/ CEDAR RAPIDS,51,52404,130 41ST AVE. DR. SW,5420,2021-10-04T00:00:00Z,2021-11-29T00:00:00Z
CASEY'S GENERAL STORE #2867 / WATERLOO,50,50701,2424 RANCHERO RD,5771,2021-10-19T00:00:00Z,2021-11-16T00:00:00Z
CASEY'S GENERAL STORE #2924 / MARION,50,52302,1100 EAGLE VIEW DR,4543,2021-10-29T00:00:00Z,2021-11-26T00:00:00Z
